user_id,fraud_label,label_observed_at,fold,decision_tree_depth3_score,xgboost_oof_score,graph_score,xgboost_oof_percentile,combined_review_score,label_interpretation,automatic_relabel_allowed,automatic_enforcement_allowed
U0000001,0,2026-05-09 06:36:32+00:00,2,0.0,0.027728212997317314,0.0,0.43083333333333335,0.21541666666666667,INCONCLUSIVE_UNCONFIRMED,False,False
U0000002,0,2026-05-05 03:37:24+00:00,4,0.0,0.12516188621520996,0.0,0.8191666666666667,0.40958333333333335,INCONCLUSIVE_UNCONFIRMED,False,False
U0000003,0,2026-06-15 07:35:11+00:00,0,0.0,0.1992025226354599,0.0,0.8841666666666667,0.44208333333333333,INCONCLUSIVE_UNCONFIRMED,False,False
U0000004,0,2026-02-22 13:07:37+00:00,1,0.0,0.2246783971786499,0.0,0.8966666666666666,0.4483333333333333,INCONCLUSIVE_UNCONFIRMED,False,False
U0000005,0,2026-06-15 22:06:51+00:00,0,0.0,0.010170540772378445,0.0,0.06166666666666667,0.030833333333333334,INCONCLUSIVE_UNCONFIRMED,False,False
U0000006,1,2026-03-11 16:16:49+00:00,2,0.9702258726899385,0.9102866053581238,0.0,0.9975,0.49875,CONFIRMED_SYNTHETIC_FRAUD,False,False
U0000007,0,2026-05-05 21:54:30+00:00,3,0.0,0.013347138650715351,0.0,0.17583333333333334,0.08791666666666667,INCONCLUSIVE_UNCONFIRMED,False,False
U0000008,0,2026-06-15 18:28:57+00:00,3,0.0,0.01358872465789318,0.0,0.18666666666666668,0.09333333333333334,INCONCLUSIVE_UNCONFIRMED,False,False
U0000009,0,2026-04-21 13:05:06+00:00,0,0.0,0.011461911723017693,0.6321205588285577,0.12166666666666667,0.3768936127476122,INCONCLUSIVE_UNCONFIRMED,False,False
U0000010,0,2026-04-02 09:06:09+00:00,1,0.0,0.011747865937650204,0.0,0.13375,0.066875,INCONCLUSIVE_UNCONFIRMED,False,False
U0000011,0,2026-05-02 04:46:37+00:00,4,0.0,0.033411405980587006,0.0,0.4891666666666667,0.24458333333333335,INCONCLUSIVE_UNCONFIRMED,False,False
U0000012,0,2026-03-13 08:26:05+00:00,4,0.0,0.309403657913208,0.0,0.9308333333333333,0.46541666666666665,INCONCLUSIVE_UNCONFIRMED,False,False
U0000013,0,2026-05-14 21:49:47+00:00,4,0.0,0.1750624179840088,0.0,0.8716666666666667,0.43583333333333335,INCONCLUSIVE_UNCONFIRMED,False,False
U0000014,0,2026-05-18 06:26:56+00:00,1,0.0,0.41885849833488464,0.0,0.9516666666666667,0.47583333333333333,INCONCLUSIVE_UNCONFIRMED,False,False
U0000015,0,2026-05-05 22:24:23+00:00,4,0.0,0.008700051344931126,0.0,0.002916666666666667,0.0014583333333333334,INCONCLUSIVE_UNCONFIRMED,False,False
U0000016,0,2026-04-01 20:54:47+00:00,3,0.0,0.04026905447244644,0.0,0.5516666666666666,0.2758333333333333,INCONCLUSIVE_UNCONFIRMED,False,False
U0000017,1,2026-05-02 13:31:54+00:00,2,0.9702258726899385,0.5396501421928406,0.0,0.9666666666666667,0.48333333333333334,CONFIRMED_SYNTHETIC_FRAUD,False,False
U0000018,0,2026-03-17 16:50:47+00:00,1,0.0,0.10975077003240585,0.0,0.7891666666666667,0.39458333333333334,INCONCLUSIVE_UNCONFIRMED,False,False
U0000019,0,2026-05-28 14:28:21+00:00,2,0.0,0.08319780230522156,0.0,0.7216666666666667,0.36083333333333334,INCONCLUSIVE_UNCONFIRMED,False,False
U0000020,0,2026-02-23 02:50:32+00:00,1,0.0,0.3478565514087677,0.0,0.9408333333333333,0.47041666666666665,INCONCLUSIVE_UNCONFIRMED,False,False
U0000021,0,2026-03-17 16:51:58+00:00,0,0.0,0.009763653390109539,0.0,0.050833333333333335,0.025416666666666667,INCONCLUSIVE_UNCONFIRMED,False,False
U0000022,0,2026-06-21 20:53:30+00:00,4,0.0,0.09208391606807709,0.0,0.745,0.3725,INCONCLUSIVE_UNCONFIRMED,False,False
U0000023,0,2026-04-29 07:47:01+00:00,0,0.0,0.06526132673025131,0.0,0.6675,0.33375,INCONCLUSIVE_UNCONFIRMED,False,False
U0000024,0,2026-06-11 02:27:04+00:00,1,0.0,0.011562938801944256,0.0,0.12708333333333333,0.06354166666666666,INCONCLUSIVE_UNCONFIRMED,False,False
U0000025,0,2026-06-12 04:13:51+00:00,3,0.0,0.01890166662633419,0.0,0.2916666666666667,0.14583333333333334,INCONCLUSIVE_UNCONFIRMED,False,False
U0000026,0,2026-06-19 09:45:58+00:00,1,0.0,0.017580194398760796,0.0,0.2708333333333333,0.13541666666666666,INCONCLUSIVE_UNCONFIRMED,False,False
U0000027,0,2026-06-01 16:42:00+00:00,2,0.0,0.009801441803574562,0.0,0.05583333333333333,0.027916666666666666,INCONCLUSIVE_UNCONFIRMED,False,False
